Number Threads,Number Samples,Number Dimensions,Number Clusters,Spread,Seed,Run Time (s),Did Reach Convergence?,Iteration Count,Max Centroid Difference
7,1000000,25,50,3.5,1234,21.2699,yes,250,0
7,1000000,25,50,3.5,1234,21.2876,yes,250,0
8,1000000,25,50,3.5,1234,18.9205,yes,250,0
8,1000000,25,50,3.5,1234,18.8488,yes,250,0
8,1000000,25,50,3.5,1234,18.7427,yes,250,0
8,1000000,25,50,3.5,1234,18.7686,yes,250,0
8,1000000,25,50,3.5,1234,18.8258,yes,250,0
8,1000000,25,50,3.5,1234,18.7464,yes,250,0
8,1000000,25,50,3.5,1234,18.7339,yes,250,0
8,1000000,25,50,3.5,1234,18.7277,yes,250,0
8,1000000,25,50,3.5,1234,18.7351,yes,250,0
8,1000000,25,50,3.5,1234,18.7419,yes,250,0
9,1000000,25,50,3.5,1234,16.8055,yes,250,0
9,1000000,25,50,3.5,1234,16.6196,yes,250,0
9,1000000,25,50,3.5,1234,16.5489,yes,250,0
9,1000000,25,50,3.5,1234,16.552,yes,250,0
9,1000000,25,50,3.5,1234,16.5646,yes,250,0
9,1000000,25,50,3.5,1234,16.5311,yes,250,0
9,1000000,25,50,3.5,1234,16.5331,yes,250,0
9,1000000,25,50,3.5,1234,16.6502,yes,250,0
9,1000000,25,50,3.5,1234,16.5601,yes,250,0
9,1000000,25,50,3.5,1234,16.6116,yes,250,0
10,1000000,25,50,3.5,1234,15.1372,yes,250,0
10,1000000,25,50,3.5,1234,14.9729,yes,250,0
10,1000000,25,50,3.5,1234,14.9165,yes,250,0
10,1000000,25,50,3.5,1234,14.9776,yes,250,0
10,1000000,25,50,3.5,1234,14.9405,yes,250,0
10,1000000,25,50,3.5,1234,14.9766,yes,250,0
10,1000000,25,50,3.5,1234,14.9959,yes,250,0
10,1000000,25,50,3.5,1234,14.9196,yes,250,0
10,1000000,25,50,3.5,1234,14.9103,yes,250,0
10,1000000,25,50,3.5,1234,14.9265,yes,250,0
