Number Processes,Number Samples,Number Dimensions,Number Clusters,Spread,Seed,Run Time (s),Did Reach Convergence?,Iteration Count,Max Centroid Difference
5,1000000,25,50,3.5,1234,30.0781,yes,250,0
5,1000000,25,50,3.5,1234,30.1345,yes,250,0
5,1000000,25,50,3.5,1234,30.1905,yes,250,0
5,1000000,25,50,3.5,1234,30.1391,yes,250,0
5,1000000,25,50,3.5,1234,30.0451,yes,250,0
6,1000000,25,50,3.5,1234,25.3527,yes,250,0
6,1000000,25,50,3.5,1234,25.1385,yes,250,0
6,1000000,25,50,3.5,1234,25.226,yes,250,0
6,1000000,25,50,3.5,1234,25.2348,yes,250,0
6,1000000,25,50,3.5,1234,25.2264,yes,250,0
6,1000000,25,50,3.5,1234,25.2167,yes,250,0
6,1000000,25,50,3.5,1234,25.171,yes,250,0
6,1000000,25,50,3.5,1234,25.1335,yes,250,0
6,1000000,25,50,3.5,1234,25.2141,yes,250,0
6,1000000,25,50,3.5,1234,25.171,yes,250,0
7,1000000,25,50,3.5,1234,21.7122,yes,250,0
7,1000000,25,50,3.5,1234,21.6635,yes,250,0
7,1000000,25,50,3.5,1234,21.6251,yes,250,0
7,1000000,25,50,3.5,1234,21.6052,yes,250,0
7,1000000,25,50,3.5,1234,21.589,yes,250,0
7,1000000,25,50,3.5,1234,21.6942,yes,250,0
7,1000000,25,50,3.5,1234,21.6411,yes,250,0
7,1000000,25,50,3.5,1234,21.5935,yes,250,0
7,1000000,25,50,3.5,1234,21.6421,yes,250,0
7,1000000,25,50,3.5,1234,21.6271,yes,250,0
8,1000000,25,50,3.5,1234,19.0289,yes,250,0
8,1000000,25,50,3.5,1234,19.0487,yes,250,0
8,1000000,25,50,3.5,1234,18.954,yes,250,0
8,1000000,25,50,3.5,1234,18.9716,yes,250,0
8,1000000,25,50,3.5,1234,18.9363,yes,250,0
8,1000000,25,50,3.5,1234,19.0059,yes,250,0
8,1000000,25,50,3.5,1234,18.9579,yes,250,0
8,1000000,25,50,3.5,1234,18.9491,yes,250,0
8,1000000,25,50,3.5,1234,18.9781,yes,250,0
8,1000000,25,50,3.5,1234,18.987,yes,250,0
9,1000000,25,50,3.5,1234,16.9338,yes,250,0
9,1000000,25,50,3.5,1234,16.8611,yes,250,0
9,1000000,25,50,3.5,1234,16.7802,yes,250,0
9,1000000,25,50,3.5,1234,16.8382,yes,250,0
9,1000000,25,50,3.5,1234,16.8107,yes,250,0
9,1000000,25,50,3.5,1234,16.8381,yes,250,0
9,1000000,25,50,3.5,1234,16.8288,yes,250,0
9,1000000,25,50,3.5,1234,16.7647,yes,250,0
9,1000000,25,50,3.5,1234,16.8929,yes,250,0
9,1000000,25,50,3.5,1234,16.8355,yes,250,0
10,1000000,25,50,3.5,1234,15.2009,yes,250,0
10,1000000,25,50,3.5,1234,15.1887,yes,250,0
10,1000000,25,50,3.5,1234,15.1883,yes,250,0
10,1000000,25,50,3.5,1234,15.1579,yes,250,0
10,1000000,25,50,3.5,1234,15.2525,yes,250,0
10,1000000,25,50,3.5,1234,15.1761,yes,250,0
10,1000000,25,50,3.5,1234,15.2619,yes,250,0
10,1000000,25,50,3.5,1234,15.1596,yes,250,0
10,1000000,25,50,3.5,1234,15.1819,yes,250,0
10,1000000,25,50,3.5,1234,15.1743,yes,250,0
